Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
New Jersey,US,2020-09-02 04:30:23,40.2989,-74.521,192290,15950,33949.0,142391.0,34.0,2164.894018254507,2859048.0,,8.294763118206875,84000034,USA,32188.548094557762,
New Mexico,US,2020-09-02 04:30:23,34.8405,-106.2485,25460,787,12960.0,11713.0,35.0,1214.2144161493381,760874.0,,3.0911233307148467,84000035,USA,36286.888439639086,
New York,US,2020-09-02 04:30:23,42.1657,-74.9481,435510,32966,75142.0,327402.0,36.0,2238.7160890491973,8340030.0,,7.569516199398406,84000036,USA,42871.482501327126,
North Carolina,US,2020-09-02 04:30:23,35.6301,-79.8064,169424,2741,145884.0,20799.0,37.0,1615.3951474835633,2295698.0,,1.6178345452828409,84000037,USA,21888.630945366192,
North Dakota,US,2020-09-02 04:30:23,47.5289,-99.78399999999999,12000,145,9610.0,2245.0,38.0,1574.6750264414181,202418.0,,1.2083333333333333,84000038,USA,26561.88079185158,
Ohio,US,2020-09-02 04:30:23,40.3888,-82.7649,124606,4166,104024.0,16416.0,39.0,1066.0016596658425,2269669.0,,3.343338202012744,84000039,USA,19416.969655491008,
Oklahoma,US,2020-09-02 04:30:23,35.5653,-96.9289,59398,808,49989.0,8601.0,40.0,1501.0976830510003,886912.0,,1.3603151621266707,84000040,USA,22413.912055458582,
Oregon,US,2020-09-02 04:30:23,44.571999999999996,-122.0709,26946,464,4938.0,21544.0,41.0,638.8734053356101,561800.0,,1.7219624434053291,84000041,USA,13319.939104785339,
Pennsylvania,US,2020-09-02 04:30:23,40.5908,-77.2098,139548,7678,109183.0,22687.0,42.0,1090.0493665476513,1674764.0,,5.5020494740161086,84000042,USA,13082.060920377295,
Rhode Island,US,2020-09-02 04:30:23,41.6809,-71.5118,22002,1050,2113.0,18839.0,44.0,2076.9124028541733,530488.0,,4.772293427870193,84000044,USA,50076.225196132385,
South Carolina,US,2020-09-02 04:30:23,33.8569,-80.945,119846,2757,51431.0,65658.0,45.0,2327.6880401591543,954402.0,,2.300452247050381,84000045,USA,18536.70644747407,
South Dakota,US,2020-09-02 04:30:23,44.2998,-99.4388,13749,167,10832.0,2750.0,46.0,1554.1581558544024,147595.0,,1.2146337915484762,84000046,USA,16683.829588575936,
Tennessee,US,2020-09-02 04:30:23,35.7478,-86.6923,156329,1781,118885.0,35663.0,47.0,2289.134820697203,2217751.0,,1.1392639881276028,84000047,USA,32474.659453690885,
Texas,US,2020-09-02 04:30:23,31.0545,-97.5635,637721,12919,514861.0,109941.0,48.0,2199.3503146188245,5033554.0,,2.0258075239799225,84000048,USA,17359.54841310047,
Utah,US,2020-09-02 04:30:23,40.15,-111.8624,52403,409,44338.0,7656.0,49.0,1634.5504214340924,664521.0,,0.7804896666221399,84000049,USA,20727.68888425862,
Vermont,US,2020-09-02 04:30:23,44.0459,-72.7107,1635,58,1432.0,145.0,50.0,262.0238497794032,138446.0,,3.547400611620795,84000050,USA,22187.25009575489,
Virginia,US,2020-09-02 04:30:23,37.7693,-78.17,121615,2612,15199.0,103782.0,51.0,1424.5530939594885,1598689.0,,2.1481499757387352,84000051,USA,18729.839392308768,
Washington,US,2020-09-02 04:30:23,47.4009,-121.4905,74939,1931,,73008.0,53.0,984.1110045801038,1473245.0,,2.5767624334458694,84000053,USA,19346.89036339709,
West Virginia,US,2020-09-02 04:30:23,38.4912,-80.9545,10513,224,8163.0,2126.0,54.0,586.6148256811523,438441.0,,2.130695329591934,84000054,USA,24464.566801718836,
Wisconsin,US,2020-09-02 04:30:23,44.2685,-89.6165,76584,1130,67902.0,7552.0,55.0,1315.3262020660088,1265321.0,,1.475504021727776,84000055,USA,21731.822121126665,
Wyoming,US,2020-09-02 04:30:23,42.756,-107.3025,3874,37,3206.0,631.0,56.0,669.3632410035957,76567.0,,0.9550851832731028,84000056,USA,13229.513493526667,
Alabama,US,2020-09-03 04:30:31,32.3182,-86.9023,128239,2217,51154.0,74868.0,1.0,2615.4224244037296,964233.0,,1.7288032501813022,84000001,USA,19665.441952526773,
Alaska,US,2020-09-03 04:30:31,61.3707,-152.4044,5362,39,2281.0,3042.0,2.0,732.9692636816603,376884.0,,0.7273405445729205,84000002,USA,51518.908611226914,
